Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9751, Recall: 0,9775, F1-Score: 0,9763
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9751, Recall: 0,9775, F1-Score: 0,9763
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9799, Recall: 0,9750, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,38%, Precision: 0,9679, Recall: 0,9800, F1-Score: 0,9739
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,25%, Precision: 0,9849, Recall: 0,9800, F1-Score: 0,9825
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9800, Recall: 0,9800, F1-Score: 0,9800
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9823, Recall: 0,9725, F1-Score: 0,9774
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,13%, Precision: 0,9825, Recall: 0,9800, F1-Score: 0,9812
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,98, L2: 0,0000] -> Accuracy: 98,00%, Precision: 0,9800, Recall: 0,9800, F1-Score: 0,9800
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 95,50%, Precision: 0,9973, Recall: 0,9125, F1-Score: 0,9530
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9775, Recall: 0,9775, F1-Score: 0,9775
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,98, L2: 0,0000] -> Accuracy: 97,38%, Precision: 0,9679, Recall: 0,9800, F1-Score: 0,9739
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,38%, Precision: 0,9626, Recall: 0,9650, F1-Score: 0,9638
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,50%, Precision: 0,9703, Recall: 0,9800, F1-Score: 0,9751
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0021, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,75%, Precision: 0,9872, Recall: 0,9675, F1-Score: 0,9773
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,00%, Precision: 0,9600, Recall: 0,9600, F1-Score: 0,9600
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,99, L2: 0,0000] -> Accuracy: 96,50%, Precision: 0,9581, Recall: 0,9725, F1-Score: 0,9653
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,97, L2: 0,0000] -> Accuracy: 97,88%, Precision: 0,9799, Recall: 0,9775, F1-Score: 0,9787
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99, L2: 0,0000] -> Accuracy: 98,38%, Precision: 0,9874, Recall: 0,9800, F1-Score: 0,9837
Seed: 8, Parameters: [Topology: [400, 2, 1], Functions: Sigmoid, Sigmoid, LR: 0,0022, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,63%, Precision: 0,9774, Recall: 0,9750, F1-Score: 0,9762
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,00%, Precision: 0,9510, Recall: 0,9700, F1-Score: 0,9604
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,97, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9624, Recall: 0,9600, F1-Score: 0,9612
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0018, Momentum: 0,99, L2: 0,0000] -> Accuracy: 97,25%, Precision: 0,9610, Recall: 0,9850, F1-Score: 0,9728
Seed: 8, Parameters: [Topology: [400, 3, 1], Functions: Sigmoid, Sigmoid, LR: 0,0019, Momentum: 0,98, L2: 0,0000] -> Accuracy: 96,13%, Precision: 0,9624, Recall: 0,9600, F1-Score: 0,9612
